"","id","run","prime","target","rt_raw","rt_log"
"260",12,5,"White","tool",495.45,6.19798813559972
"261",12,6,"Black","gun",434.263157894737,6.07176943933414
"262",12,6,"Black","tool",499.9,6.21172544158988
"263",12,6,"White","gun",474.6,6.15446708627676
"264",12,6,"White","tool",489.35,6.18724890024549
"265",13,1,"Black","gun",525.3,6.2604374518323
"266",13,1,"Black","tool",484.222222222222,6.16906068001598
"267",13,1,"White","gun",483.65,6.17130577116508
"268",13,1,"White","tool",508.947368421053,6.22169577339503
"269",13,2,"Black","gun",491.473684210526,6.18528695893222
"270",13,2,"Black","tool",491.473684210526,6.18151145429053
"271",13,2,"White","gun",455.47619047619,6.1030075863192
"272",13,2,"White","tool",505.6,6.21318501582838
"273",13,3,"Black","gun",505.3,6.2176423702036
"274",13,3,"Black","tool",465.45,6.13383261974891
"275",13,3,"White","gun",492.631578947368,6.18852316360544
"276",13,3,"White","tool",501.631578947368,6.20640604761786
"277",13,4,"Black","gun",502.055555555556,6.21023716101556
"278",13,4,"Black","tool",506.421052631579,6.21799079550253
"279",13,4,"White","gun",474.105263157895,6.14797752647256
"280",13,4,"White","tool",505.352941176471,6.21602315116298
"281",13,5,"Black","gun",535.842105263158,6.27501158764486
"282",13,5,"Black","tool",493.222222222222,6.17372072425868
"283",13,5,"White","gun",479.777777777778,6.14644539412197
"284",13,5,"White","tool",528,6.25548678244299
"285",13,6,"Black","gun",410.277777777778,6.00902156878804
"286",13,6,"Black","tool",463.052631578947,6.12510720488817
"287",13,6,"White","gun",443.736842105263,6.07897052960687
"288",13,6,"White","tool",478.315789473684,6.16411269490589
"289",14,1,"Black","gun",623.578947368421,6.42570445893113
"290",14,1,"Black","tool",524.5,6.24763174359224
"291",14,1,"White","gun",569.25,6.32851840069929
"292",14,1,"White","tool",524.7,6.25122109958781
"293",14,2,"Black","gun",722.2,6.56043396176305
"294",14,2,"Black","tool",573.2,6.33237512778331
"295",14,2,"White","gun",624.7,6.40211710009686
"296",14,2,"White","tool",620.95,6.40817384016927
"297",14,3,"Black","gun",836.2,6.69470936448442
"298",14,3,"Black","tool",572.8,6.33586249185501
"299",14,3,"White","gun",686.25,6.49494118646817
"300",14,3,"White","tool",707.9,6.53973314313458
"301",14,4,"Black","gun",695.05,6.49185903060193
"302",14,4,"Black","tool",582.578947368421,6.35959439264956
"303",14,4,"White","gun",649.7,6.45309078420628
"304",14,4,"White","tool",633.5,6.42569472776633
"305",14,5,"Black","gun",755.4,6.6031398340065
"306",14,5,"Black","tool",659.85,6.45832429844095
"307",14,5,"White","gun",730.5,6.5483878982274
"308",14,5,"White","tool",713.2,6.52997129037158
"309",14,6,"Black","gun",772.75,6.61336319423995
"310",14,6,"Black","tool",581.7,6.34978966359234
"311",14,6,"White","gun",567.157894736842,6.31821710728965
"312",14,6,"White","tool",618.8,6.41466085048915
"313",15,1,"Black","gun",442.6,6.08753697892723
"314",15,1,"Black","tool",575,6.34679677600618
"315",15,1,"White","gun",454.7,6.11269306445232
"316",15,1,"White","tool",534.578947368421,6.27560416326125
"317",15,2,"Black","gun",526.95,6.24068644460316
"318",15,2,"Black","tool",590.473684210526,6.35223304896321
"319",15,2,"White","gun",475.894736842105,6.15462682424622
"320",15,2,"White","tool",580.7,6.3409978011315
"321",15,3,"Black","gun",497.4,6.17663120250204
"322",15,3,"Black","tool",513,6.23348726481782
"323",15,3,"White","gun",462.7,6.10635621949614
"324",15,3,"White","tool",517.526315789474,6.23929448035669
"325",15,4,"Black","gun",485.55,6.16941597450004
"326",15,4,"Black","tool",534,6.26711241082049
"327",15,4,"White","gun",442.578947368421,6.07789938046696
"328",15,4,"White","tool",530.684210526316,6.25770169242382
"329",15,5,"Black","gun",438.222222222222,6.07880952704896
"330",15,5,"Black","tool",500.5,6.2128343532548
"331",15,5,"White","gun",468.333333333333,6.13622076092916
"332",15,5,"White","tool",508.222222222222,6.22581658049804
"333",15,6,"Black","gun",469.7,6.13864400656802
"334",15,6,"Black","tool",535.15,6.27527931114995
"335",15,6,"White","gun",483.5,6.16107368855279
"336",15,6,"White","tool",531.157894736842,6.25609154338731
"337",16,1,"Black","gun",485.368421052632,6.16884306052954
"338",16,1,"Black","tool",608.368421052632,6.40257377055746
"339",16,1,"White","gun",495.368421052632,6.19191718934014
"340",16,1,"White","tool",543.6,6.29194374615787
"341",16,2,"Black","gun",463.055555555556,6.12354607415245
"342",16,2,"Black","tool",584.45,6.34321604471245
"343",16,2,"White","gun",463.95,6.12391284572074
"344",16,2,"White","tool",530.2,6.26269838648985
"345",16,3,"Black","gun",466.526315789474,6.13239516009058
"346",16,3,"Black","tool",526.105263157895,6.25930351595831
"347",16,3,"White","gun",503,6.20553511552747
"348",16,3,"White","tool",535.9,6.27709850714451
"349",16,4,"Black","gun",481.8,6.16430751134327
"350",16,4,"Black","tool",563.1,6.31576828173967
"351",16,4,"White","gun",471.9,6.13971615629706
"352",16,4,"White","tool",525.5,6.25966277347418
"353",16,5,"Black","gun",471.631578947368,6.14495367168517
"354",16,5,"Black","tool",513.7,6.23337644682889
"355",16,5,"White","gun",481,6.15919432365004
"356",16,5,"White","tool",496.333333333333,6.20365811113299
"357",16,6,"Black","gun",454.470588235294,6.1080195896677
"358",16,6,"Black","tool",533.15,6.27427292235569
"359",16,6,"White","gun",470.7,6.14580017679231
"360",16,6,"White","tool",527.9,6.25040264590869
"361",17,1,"Black","gun",496.444444444444,6.20054132618718
"362",17,1,"Black","tool",577.9,6.34641020949538
"363",17,1,"White","gun",495.05,6.19916597628425
"364",17,1,"White","tool",529.157894736842,6.26217426610498
"365",17,2,"Black","gun",475.15,6.15683248132235
"366",17,2,"Black","tool",521.78947368421,6.25157236701692
"367",17,2,"White","gun",480.526315789474,6.16326925361977
"368",17,2,"White","tool",536.25,6.26916376392399
"369",17,3,"Black","gun",458.526315789474,6.1207329707439
"370",17,3,"Black","tool",522.947368421053,6.2514567283768
"371",17,3,"White","gun",475.5,6.15530854862622
"372",17,3,"White","tool",520.736842105263,6.249117074756
"373",17,4,"Black","gun",467,6.1347479169317
"374",17,4,"Black","tool",518.611111111111,6.23997757422964
